127.0.0.1 - - [31/Mar/2022:09:29:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:30:01 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:30:02 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:30:05 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:31:15 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:31:16 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:36:26 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:36:27 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:36:29 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:36:30 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:49:09 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [31/Mar/2022:09:50:44 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:04:11 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:04:50 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:05:11 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:05:25 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:06:56 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 249
