127.0.0.1 - - [02/Apr/2022:10:55:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2022:10:55:41 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [02/Apr/2022:10:56:40 +0900] "GET /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp?name=%EC%9D%B4%ED%98%84%EC%88%98&pwd=temp12346&mail=hr2803@naver.com&company=SKT&phone1=010&phone2=4786&phone3=2803&gender=%EB%82%A8%EC%84%B1&favorite=%EC%9A%B4%EB%8F%99&favorite=%EC%97%AC%ED%96%89&self=%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94.+%EC%84%9C%EA%B2%BD%EB%8C%80%ED%95%99%EA%B5%90+%EC%BB%B4%ED%93%A8%ED%84%B0%EA%B3%B5%ED%95%99%EA%B3%BC%EC%97%90+%EC%9E%AC%ED%95%99%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4. HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [02/Apr/2022:10:58:13 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [02/Apr/2022:10:58:15 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:00:09 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:00:10 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:00:33 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:00:34 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:00:35 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:00:38 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:01:25 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:01:27 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:01:30 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:01:47 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:01:48 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:01:50 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:02:38 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:02:40 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 192
