127.0.0.1 - - [06/Jun/2022:14:54:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:20 +0900] "GET /mysns/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:24 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 7585
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:24 +0900] "GET /mysns/css/styles.css HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:24 +0900] "GET /mysns/img/facebook_32.png HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:24 +0900] "GET /mysns/img/youtube_32.png HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:24 +0900] "GET /mysns/img/twitter_32.png HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:25 +0900] "GET /mysns/css/images/colbg.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:25 +0900] "GET /mysns/css/images/intro.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:33 +0900] "GET /mysns/sns_control.jsp?action=getall&suid=temp HTTP/1.1" 200 4316
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:33 +0900] "GET /mysns/css/images/colbg.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:33 +0900] "GET /mysns/css/images/intro.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:35 +0900] "GET /mysns/sns_control.jsp?action=getall&suid=hr2803 HTTP/1.1" 200 7639
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:35 +0900] "GET /mysns/css/images/colbg.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:35 +0900] "GET /mysns/css/images/intro.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:39 +0900] "GET /mysns/sns_control.jsp?action=getall&suid=temp HTTP/1.1" 200 4316
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:39 +0900] "GET /mysns/css/images/colbg.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:39 +0900] "GET /mysns/css/images/intro.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:40 +0900] "GET /mysns/sns_control.jsp?action=getall&suid=hr2803 HTTP/1.1" 200 7639
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:40 +0900] "GET /mysns/css/images/colbg.png HTTP/1.1" 404 566
0:0:0:0:0:0:0:1 - - [06/Jun/2022:14:54:40 +0900] "GET /mysns/css/images/intro.png HTTP/1.1" 404 566
